C T 0 1 2 3 0.0 1.0 2.0 3.0 G P
99.0 23.0 150 0 0 0 1.0 0.0 0.0 0.0 0 1.0
98.0 23.0 145 5 0 0 0.96 0.03 0.0 0.0 0 0.96
97.0 23.0 146 4 0 0 0.97 0.02 0.0 0.0 0 0.97
96.0 23.0 142 8 0 0 0.94 0.05 0.0 0.0 0 0.94
95.0 23.0 137 13 0 0 0.91 0.08 0.0 0.0 0 0.91
94.0 23.0 128 22 0 0 0.85 0.14 0.0 0.0 0 0.85
93.0 23.0 83 65 2 0 0.55 0.43 0.01 0.0 0 0.55
92.0 23.0 47 97 6 0 0.31 0.64 0.04 0.0 1 0.64
90.0 23.0 48 94 8 0 0.32 0.62 0.05 0.0 1 0.62
89.0 23.0 28 107 15 0 0.18 0.71 0.1 0.0 1 0.71
88.0 23.0 18 101 31 0 0.12 0.67 0.20 0.0 1 0.67
87.0 23.0 12 106 31 1 0.08 0.70 0.20 0.00 1 0.70
86.0 23.0 10 96 43 1 0.06 0.64 0.28 0.00 1 0.64
85.0 23.0 5 95 48 2 0.03 0.63 0.32 0.01 1 0.63
84.0 23.0 2 59 80 9 0.01 0.39 0.53 0.06 2 0.53
83.0 23.0 0 54 89 7 0.0 0.36 0.59 0.04 2 0.59
82.0 23.0 1 40 89 20 0.00 0.26 0.59 0.13 2 0.59
81.0 23.0 0 35 80 35 0.0 0.23 0.53 0.23 2 0.53
80.0 23.0 0 22 78 50 0.0 0.14 0.52 0.33 2 0.52
79.0 23.0 0 7 41 102 0.0 0.04 0.27 0.68 3 0.68
99.0 30.0 147 3 0 0 0.98 0.02 0.0 0.0 0 0.98
98.0 30.0 142 7 0 1 0.94 0.04 0.0 0.00 0 0.94
97.0 30.0 134 10 0 6 0.89 0.06 0.0 0.04 0 0.89
96.0 30.0 138 8 0 4 0.92 0.05 0.0 0.02 0 0.92
95.0 30.0 140 10 0 0 0.93 0.06 0.0 0.0 0 0.93
94.0 30.0 123 23 0 4 0.82 0.15 0.0 0.02 0 0.82
93.0 30.0 94 50 3 3 0.62 0.33 0.02 0.02 0 0.62
92.0 30.0 41 92 15 2 0.27 0.61 0.1 0.01 1 0.61
90.0 30.0 12 104 32 2 0.08 0.69 0.21 0.01 1 0.69
89.0 30.0 18 103 28 1 0.12 0.68 0.18 0.00 1 0.68
88.0 30.0 17 86 40 7 0.11 0.57 0.26 0.04 1 0.57
87.0 30.0 10 94 43 3 0.06 0.62 0.28 0.02 1 0.62
86.0 30.0 4 65 74 7 0.02 0.43 0.49 0.04 2 0.49
85.0 30.0 3 48 83 16 0.02 0.32 0.55 0.10 2 0.55
84.0 30.0 1 35 91 23 0.00 0.23 0.60 0.15 2 0.60
83.0 30.0 1 37 85 27 0.00 0.24 0.56 0.18 2 0.56
82.0 30.0 0 36 88 26 0.0 0.24 0.58 0.17 2 0.58
81.0 30.0 0 6 48 96 0.0 0.04 0.32 0.64 3 0.64
80.0 30.0 0 8 48 94 0.0 0.05 0.32 0.62 3 0.62
79.0 30.0 0 5 44 101 0.0 0.03 0.29 0.67 3 0.67
99.0 36.0 147 3 0 0 0.98 0.02 0.0 0.0 0 0.98
98.0 36.0 146 4 0 0 0.97 0.02 0.0 0.0 0 0.97
97.0 36.0 138 7 0 5 0.92 0.04 0.0 0.03 0 0.92
96.0 36.0 132 11 0 7 0.88 0.07 0.0 0.04 0 0.88
95.0 36.0 140 9 0 1 0.93 0.06 0.0 0.00 0 0.93
94.0 36.0 98 50 2 0 0.65 0.33 0.01 0.0 0 0.65
93.0 36.0 53 88 9 0 0.35 0.58 0.06 0.0 1 0.58
92.0 36.0 35 99 13 3 0.23 0.66 0.08 0.02 1 0.66
90.0 36.0 23 94 33 0 0.15 0.62 0.22 0.0 1 0.62
89.0 36.0 14 84 47 5 0.09 0.56 0.31 0.03 1 0.56
88.0 36.0 10 85 50 5 0.06 0.56 0.33 0.03 1 0.56
87.0 36.0 3 68 71 8 0.02 0.45 0.47 0.05 2 0.47
86.0 36.0 2 59 77 12 0.01 0.39 0.51 0.08 2 0.51
85.0 36.0 1 41 92 16 0.00 0.27 0.61 0.10 2 0.61
84.0 36.0 0 40 91 19 0.0 0.26 0.60 0.12 2 0.60
83.0 36.0 0 44 88 18 0.0 0.29 0.58 0.12 2 0.58
82.0 36.0 0 28 83 39 0.0 0.18 0.55 0.26 2 0.55
81.0 36.0 0 9 55 86 0.0 0.06 0.36 0.57 3 0.57
80.0 36.0 0 3 46 101 0.0 0.02 0.30 0.67 3 0.67
79.0 36.0 0 4 40 106 0.0 0.02 0.26 0.70 3 0.70
99.0 45.0 149 1 0 0 0.99 0.00 0.0 0.0 0 0.99
98.0 45.0 114 12 1 23 0.76 0.08 0.00 0.15 0 0.76
97.0 45.0 101 20 1 28 0.67 0.13 0.00 0.18 0 0.67
96.0 45.0 99 19 3 29 0.66 0.12 0.02 0.19 0 0.66
95.0 45.0 84 44 7 15 0.56 0.29 0.04 0.1 0 0.56
94.0 45.0 55 75 17 3 0.36 0.5 0.11 0.02 1 0.5
93.0 45.0 20 84 39 7 0.13 0.56 0.26 0.04 1 0.56
92.0 45.0 10 77 53 10 0.06 0.51 0.35 0.06 1 0.51
90.0 45.0 7 59 69 15 0.04 0.39 0.46 0.1 2 0.46
89.0 45.0 2 67 70 11 0.01 0.44 0.46 0.07 2 0.46
88.0 45.0 2 54 78 16 0.01 0.36 0.52 0.10 2 0.52
87.0 45.0 1 49 90 10 0.00 0.32 0.6 0.06 2 0.6
86.0 45.0 1 43 87 19 0.00 0.28 0.58 0.12 2 0.58
85.0 45.0 1 39 84 26 0.00 0.26 0.56 0.17 2 0.56
84.0 45.0 0 40 85 25 0.0 0.26 0.56 0.16 2 0.56
83.0 45.0 0 19 76 55 0.0 0.12 0.50 0.36 2 0.50
