C T 0 1 2 3 0.0 1.0 2.0 3.0 G P
99.0 23.0 150 0 0 0 1.0 0.0 0.0 0.0 0 1.0
98.0 23.0 140 10 0 0 0.93 0.06 0.0 0.0 0 0.93
97.0 23.0 140 10 0 0 0.93 0.06 0.0 0.0 0 0.93
96.0 23.0 139 10 1 0 0.92 0.06 0.00 0.0 0 0.92
95.0 23.0 137 12 1 0 0.91 0.08 0.00 0.0 0 0.91
94.0 23.0 123 27 0 0 0.82 0.18 0.0 0.0 0 0.82
93.0 23.0 60 90 0 0 0.4 0.6 0.0 0.0 1 0.6
92.0 23.0 41 106 3 0 0.27 0.70 0.02 0.0 1 0.70
90.0 23.0 38 83 29 0 0.25 0.55 0.19 0.0 1 0.55
89.0 23.0 37 108 5 0 0.24 0.72 0.03 0.0 1 0.72
88.0 23.0 20 114 16 0 0.13 0.76 0.10 0.0 1 0.76
87.0 23.0 24 112 14 0 0.16 0.74 0.09 0.0 1 0.74
86.0 23.0 21 108 18 3 0.14 0.72 0.12 0.02 1 0.72
85.0 23.0 12 98 38 2 0.08 0.65 0.25 0.01 1 0.65
84.0 23.0 1 29 113 7 0.00 0.19 0.75 0.04 2 0.75
83.0 23.0 4 69 74 3 0.02 0.46 0.49 0.02 2 0.49
82.0 23.0 0 37 106 7 0.0 0.24 0.70 0.04 2 0.70
81.0 23.0 1 23 66 60 0.00 0.15 0.44 0.4 2 0.44
80.0 23.0 0 6 31 113 0.0 0.04 0.20 0.75 3 0.75
79.0 23.0 1 7 16 126 0.00 0.04 0.10 0.84 3 0.84
99.0 30.0 139 10 1 0 0.92 0.06 0.00 0.0 0 0.92
98.0 30.0 139 11 0 0 0.92 0.07 0.0 0.0 0 0.92
97.0 30.0 137 9 3 1 0.91 0.06 0.02 0.00 0 0.91
96.0 30.0 139 8 2 1 0.92 0.05 0.01 0.00 0 0.92
95.0 30.0 138 11 1 0 0.92 0.07 0.00 0.0 0 0.92
94.0 30.0 135 14 1 0 0.9 0.09 0.00 0.0 0 0.9
93.0 30.0 106 27 17 0 0.70 0.18 0.11 0.0 0 0.70
92.0 30.0 30 47 72 1 0.2 0.31 0.48 0.00 2 0.48
90.0 30.0 20 111 18 1 0.13 0.74 0.12 0.00 1 0.74
89.0 30.0 15 59 75 1 0.1 0.39 0.5 0.00 2 0.5
88.0 30.0 10 38 100 2 0.06 0.25 0.66 0.01 2 0.66
87.0 30.0 7 51 87 5 0.04 0.34 0.58 0.03 2 0.58
86.0 30.0 2 41 101 6 0.01 0.27 0.67 0.04 2 0.67
85.0 30.0 0 38 106 6 0.0 0.25 0.70 0.04 2 0.70
84.0 30.0 0 32 105 13 0.0 0.21 0.7 0.08 2 0.7
83.0 30.0 2 24 93 31 0.01 0.16 0.62 0.20 2 0.62
82.0 30.0 0 17 64 69 0.0 0.11 0.42 0.46 3 0.46
81.0 30.0 0 6 20 124 0.0 0.04 0.13 0.82 3 0.82
80.0 30.0 0 3 21 126 0.0 0.02 0.14 0.84 3 0.84
79.0 30.0 0 5 17 128 0.0 0.03 0.11 0.85 3 0.85
99.0 36.0 143 7 0 0 0.95 0.04 0.0 0.0 0 0.95
98.0 36.0 141 9 0 0 0.94 0.06 0.0 0.0 0 0.94
97.0 36.0 137 8 4 1 0.91 0.05 0.02 0.00 0 0.91
96.0 36.0 136 11 2 1 0.90 0.07 0.01 0.00 0 0.90
95.0 36.0 139 8 2 1 0.92 0.05 0.01 0.00 0 0.92
94.0 36.0 87 57 6 0 0.58 0.38 0.04 0.0 0 0.58
93.0 36.0 40 93 16 1 0.26 0.62 0.10 0.00 1 0.62
92.0 36.0 17 51 81 1 0.11 0.34 0.54 0.00 2 0.54
90.0 36.0 15 54 81 0 0.1 0.36 0.54 0.0 2 0.54
89.0 36.0 2 48 98 2 0.01 0.32 0.65 0.01 2 0.65
88.0 36.0 4 40 101 5 0.02 0.26 0.67 0.03 2 0.67
87.0 36.0 5 58 83 4 0.03 0.38 0.55 0.02 2 0.55
86.0 36.0 3 35 99 13 0.02 0.23 0.66 0.08 2 0.66
85.0 36.0 1 38 105 6 0.00 0.25 0.7 0.04 2 0.7
84.0 36.0 1 31 104 14 0.00 0.20 0.69 0.09 2 0.69
83.0 36.0 6 64 58 22 0.04 0.42 0.38 0.14 1 0.42
82.0 36.0 1 23 29 97 0.00 0.15 0.19 0.64 3 0.64
81.0 36.0 0 4 18 128 0.0 0.02 0.12 0.85 3 0.85
80.0 36.0 0 4 15 131 0.0 0.02 0.1 0.87 3 0.87
79.0 36.0 0 5 14 131 0.0 0.03 0.09 0.87 3 0.87
99.0 45.0 142 7 1 0 0.94 0.04 0.00 0.0 0 0.94
98.0 45.0 127 11 3 9 0.84 0.07 0.02 0.06 0 0.84
97.0 45.0 127 9 4 10 0.84 0.06 0.02 0.06 0 0.84
96.0 45.0 125 10 4 11 0.83 0.06 0.02 0.07 0 0.83
95.0 45.0 95 27 17 11 0.63 0.18 0.11 0.07 0 0.63
94.0 45.0 30 37 82 1 0.2 0.24 0.54 0.00 2 0.54
93.0 45.0 8 44 94 4 0.05 0.29 0.62 0.02 2 0.62
92.0 45.0 4 40 98 8 0.02 0.26 0.65 0.05 2 0.65
90.0 45.0 6 37 91 16 0.04 0.24 0.60 0.10 2 0.60
89.0 45.0 3 36 104 7 0.02 0.24 0.69 0.04 2 0.69
88.0 45.0 4 30 97 19 0.02 0.2 0.64 0.12 2 0.64
87.0 45.0 1 36 110 3 0.00 0.24 0.73 0.02 2 0.73
86.0 45.0 1 38 103 8 0.00 0.25 0.68 0.05 2 0.68
85.0 45.0 2 34 93 21 0.01 0.22 0.62 0.14 2 0.62
84.0 45.0 2 33 65 50 0.01 0.22 0.43 0.33 2 0.43
83.0 45.0 0 7 36 107 0.0 0.04 0.24 0.71 3 0.71
82.0 45.0 0 9 22 119 0.0 0.06 0.14 0.79 3 0.79
81.0 45.0 0 10 23 117 0.0 0.06 0.15 0.78 3 0.78
80.0 45.0 1 6 20 123 0.00 0.04 0.13 0.82 3 0.82
79.0 45.0 0 5 16 129 0.0 0.03 0.10 0.86 3 0.86
99.0 50.0 139 9 1 1 0.92 0.06 0.00 0.00 0 0.92
98.0 50.0 121 12 5 12 0.80 0.08 0.03 0.08 0 0.80
97.0 50.0 120 11 7 12 0.8 0.07 0.04 0.08 0 0.8
96.0 50.0 111 18 8 13 0.74 0.12 0.05 0.08 0 0.74
95.0 50.0 21 38 82 9 0.14 0.25 0.54 0.06 2 0.54
94.0 50.0 5 40 101 4 0.03 0.26 0.67 0.02 2 0.67
93.0 50.0 8 42 96 4 0.05 0.28 0.64 0.02 2 0.64
92.0 50.0 5 41 99 5 0.03 0.27 0.66 0.03 2 0.66
90.0 50.0 5 32 93 20 0.03 0.21 0.62 0.13 2 0.62
89.0 50.0 2 61 84 3 0.01 0.40 0.56 0.02 2 0.56
88.0 50.0 4 45 97 4 0.02 0.3 0.64 0.02 2 0.64
87.0 50.0 1 42 102 5 0.00 0.28 0.68 0.03 2 0.68
86.0 50.0 0 31 100 19 0.0 0.20 0.66 0.12 2 0.66
85.0 50.0 1 22 85 42 0.00 0.14 0.56 0.28 2 0.56
84.0 50.0 0 16 37 97 0.0 0.10 0.24 0.64 3 0.64
83.0 50.0 0 3 20 127 0.0 0.02 0.13 0.84 3 0.84
82.0 50.0 0 3 17 130 0.0 0.02 0.11 0.86 3 0.86
81.0 50.0 0 9 17 124 0.0 0.06 0.11 0.82 3 0.82
80.0 50.0 0 2 19 129 0.0 0.01 0.12 0.86 3 0.86
79.0 50.0 0 2 19 129 0.0 0.01 0.12 0.86 3 0.86
99.0 55.0 116 11 9 14 0.77 0.07 0.06 0.09 0 0.77
98.0 55.0 47 34 53 16 0.31 0.22 0.35 0.10 2 0.35
97.0 55.0 45 32 58 15 0.3 0.21 0.38 0.1 2 0.38
96.0 55.0 6 32 98 14 0.04 0.21 0.65 0.09 2 0.65
95.0 55.0 18 103 25 4 0.12 0.68 0.16 0.02 1 0.68
94.0 55.0 11 102 36 1 0.07 0.68 0.24 0.00 1 0.68
93.0 55.0 9 105 32 4 0.06 0.7 0.21 0.02 1 0.7
92.0 55.0 8 91 42 9 0.05 0.60 0.28 0.06 1 0.60
90.0 55.0 2 34 97 17 0.01 0.22 0.64 0.11 2 0.64
89.0 55.0 8 95 39 8 0.05 0.63 0.26 0.05 1 0.63
88.0 55.0 5 83 52 10 0.03 0.55 0.34 0.06 1 0.55
87.0 55.0 1 29 82 38 0.00 0.19 0.54 0.25 2 0.54
86.0 55.0 1 36 95 18 0.00 0.24 0.63 0.12 2 0.63
85.0 55.0 1 24 55 70 0.00 0.16 0.36 0.46 3 0.46
84.0 55.0 5 61 48 36 0.03 0.40 0.32 0.24 1 0.40
83.0 55.0 3 38 38 71 0.02 0.25 0.25 0.47 3 0.47
82.0 55.0 0 5 18 127 0.0 0.03 0.12 0.84 3 0.84
81.0 55.0 0 3 14 133 0.0 0.02 0.09 0.88 3 0.88
80.0 55.0 0 5 15 130 0.0 0.03 0.1 0.86 3 0.86
79.0 55.0 0 4 18 128 0.0 0.02 0.12 0.85 3 0.85
99.0 62.0 52 26 18 54 0.34 0.17 0.12 0.36 3 0.36
98.0 62.0 6 84 48 12 0.04 0.56 0.32 0.08 1 0.56
97.0 62.0 8 103 33 6 0.05 0.68 0.22 0.04 1 0.68
96.0 62.0 10 101 32 7 0.06 0.67 0.21 0.04 1 0.67
95.0 62.0 14 98 35 3 0.09 0.65 0.23 0.02 1 0.65
94.0 62.0 6 94 47 3 0.04 0.62 0.31 0.02 1 0.62
93.0 62.0 7 96 40 7 0.04 0.64 0.26 0.04 1 0.64
92.0 62.0 6 81 56 7 0.04 0.54 0.37 0.04 1 0.54
90.0 62.0 6 74 62 8 0.04 0.49 0.41 0.05 1 0.49
89.0 62.0 3 44 95 8 0.02 0.29 0.63 0.05 2 0.63
88.0 62.0 8 85 51 6 0.05 0.56 0.34 0.04 1 0.56
87.0 62.0 3 37 95 15 0.02 0.24 0.63 0.1 2 0.63
86.0 62.0 0 20 82 48 0.0 0.13 0.54 0.32 2 0.54
85.0 62.0 1 36 59 54 0.00 0.24 0.39 0.36 2 0.39
84.0 62.0 0 37 39 74 0.0 0.24 0.26 0.49 3 0.49
83.0 62.0 1 9 23 117 0.00 0.06 0.15 0.78 3 0.78
82.0 62.0 0 3 17 130 0.0 0.02 0.11 0.86 3 0.86
81.0 62.0 0 8 23 119 0.0 0.05 0.15 0.79 3 0.79
80.0 62.0 0 4 17 129 0.0 0.02 0.11 0.86 3 0.86
79.0 62.0 0 3 15 132 0.0 0.02 0.1 0.88 3 0.88
99.0 68.0 10 97 34 9 0.06 0.64 0.22 0.06 1 0.64
98.0 68.0 9 104 30 7 0.06 0.69 0.2 0.04 1 0.69
97.0 68.0 9 101 30 10 0.06 0.67 0.2 0.06 1 0.67
96.0 68.0 9 103 30 8 0.06 0.68 0.2 0.05 1 0.68
95.0 68.0 11 104 31 4 0.07 0.69 0.20 0.02 1 0.69
94.0 68.0 10 103 34 3 0.06 0.68 0.22 0.02 1 0.68
93.0 68.0 6 98 40 6 0.04 0.65 0.26 0.04 1 0.65
92.0 68.0 6 81 56 7 0.04 0.54 0.37 0.04 1 0.54
90.0 68.0 2 45 94 9 0.01 0.3 0.62 0.06 2 0.62
89.0 68.0 8 99 34 9 0.05 0.66 0.22 0.06 1 0.66
88.0 68.0 8 85 43 14 0.05 0.56 0.28 0.09 1 0.56
87.0 68.0 5 67 62 16 0.03 0.44 0.41 0.10 1 0.44
86.0 68.0 0 30 86 34 0.0 0.2 0.57 0.22 2 0.57
85.0 68.0 2 21 59 68 0.01 0.14 0.39 0.45 3 0.45
84.0 68.0 0 38 50 62 0.0 0.25 0.33 0.41 3 0.41
83.0 68.0 3 54 33 60 0.02 0.36 0.22 0.4 3 0.4
82.0 68.0 0 5 17 128 0.0 0.03 0.11 0.85 3 0.85
81.0 68.0 0 3 18 129 0.0 0.02 0.12 0.86 3 0.86
80.0 68.0 0 5 17 128 0.0 0.03 0.11 0.85 3 0.85
79.0 68.0 0 3 20 127 0.0 0.02 0.13 0.84 3 0.84
