C T 0 1 2 3 0.0 1.0 2.0 3.0 G P
99.0 23.0 150 0 0 0 1.0 0.0 0.0 0.0 0 1.0
98.0 23.0 142 8 0 0 0.94 0.05 0.0 0.0 0 0.94
97.0 23.0 142 8 0 0 0.94 0.05 0.0 0.0 0 0.94
96.0 23.0 144 6 0 0 0.96 0.04 0.0 0.0 0 0.96
95.0 23.0 141 9 0 0 0.94 0.06 0.0 0.0 0 0.94
94.0 23.0 131 19 0 0 0.87 0.12 0.0 0.0 0 0.87
93.0 23.0 80 69 1 0 0.53 0.46 0.00 0.0 0 0.53
92.0 23.0 47 100 3 0 0.31 0.66 0.02 0.0 1 0.66
90.0 23.0 52 74 24 0 0.34 0.49 0.16 0.0 1 0.49
89.0 23.0 41 103 6 0 0.27 0.68 0.04 0.0 1 0.68
88.0 23.0 20 117 13 0 0.13 0.78 0.08 0.0 1 0.78
87.0 23.0 22 107 21 0 0.14 0.71 0.14 0.0 1 0.71
86.0 23.0 17 110 19 4 0.11 0.73 0.12 0.02 1 0.73
85.0 23.0 8 98 41 3 0.05 0.65 0.27 0.02 1 0.65
84.0 23.0 1 35 105 9 0.00 0.23 0.7 0.06 2 0.7
83.0 23.0 3 77 64 6 0.02 0.51 0.42 0.04 1 0.51
82.0 23.0 0 37 105 8 0.0 0.24 0.7 0.05 2 0.7
81.0 23.0 0 25 58 67 0.0 0.16 0.38 0.44 3 0.44
80.0 23.0 0 16 24 110 0.0 0.10 0.16 0.73 3 0.73
79.0 23.0 0 6 12 132 0.0 0.04 0.08 0.88 3 0.88
99.0 30.0 141 9 0 0 0.94 0.06 0.0 0.0 0 0.94
98.0 30.0 143 7 0 0 0.95 0.04 0.0 0.0 0 0.95
97.0 30.0 144 5 1 0 0.96 0.03 0.00 0.0 0 0.96
96.0 30.0 142 6 1 1 0.94 0.04 0.00 0.00 0 0.94
95.0 30.0 141 8 1 0 0.94 0.05 0.00 0.0 0 0.94
94.0 30.0 137 11 2 0 0.91 0.07 0.01 0.0 0 0.91
93.0 30.0 129 17 4 0 0.86 0.11 0.02 0.0 0 0.86
92.0 30.0 43 42 64 1 0.28 0.28 0.42 0.00 2 0.42
90.0 30.0 20 111 18 1 0.13 0.74 0.12 0.00 1 0.74
89.0 30.0 15 63 70 2 0.1 0.42 0.46 0.01 2 0.46
88.0 30.0 12 35 100 3 0.08 0.23 0.66 0.02 2 0.66
87.0 30.0 7 53 86 4 0.04 0.35 0.57 0.02 2 0.57
86.0 30.0 1 38 104 7 0.00 0.25 0.69 0.04 2 0.69
85.0 30.0 0 32 111 7 0.0 0.21 0.74 0.04 2 0.74
84.0 30.0 0 29 106 15 0.0 0.19 0.70 0.1 2 0.70
83.0 30.0 1 31 85 33 0.00 0.20 0.56 0.22 2 0.56
82.0 30.0 0 20 58 72 0.0 0.13 0.38 0.48 3 0.48
81.0 30.0 0 6 16 128 0.0 0.04 0.10 0.85 3 0.85
80.0 30.0 0 5 15 130 0.0 0.03 0.1 0.86 3 0.86
79.0 30.0 0 5 13 132 0.0 0.03 0.08 0.88 3 0.88
99.0 36.0 144 6 0 0 0.96 0.04 0.0 0.0 0 0.96
98.0 36.0 145 5 0 0 0.96 0.03 0.0 0.0 0 0.96
97.0 36.0 142 6 2 0 0.94 0.04 0.01 0.0 0 0.94
96.0 36.0 140 8 1 1 0.93 0.05 0.00 0.00 0 0.93
95.0 36.0 144 6 0 0 0.96 0.04 0.0 0.0 0 0.96
94.0 36.0 113 36 1 0 0.75 0.24 0.00 0.0 0 0.75
93.0 36.0 51 88 11 0 0.34 0.58 0.07 0.0 1 0.58
92.0 36.0 24 44 82 0 0.16 0.29 0.54 0.0 2 0.54
90.0 36.0 20 49 81 0 0.13 0.32 0.54 0.0 2 0.54
89.0 36.0 7 42 99 2 0.04 0.28 0.66 0.01 2 0.66
88.0 36.0 5 36 104 5 0.03 0.24 0.69 0.03 2 0.69
87.0 36.0 6 57 84 3 0.04 0.38 0.56 0.02 2 0.56
86.0 36.0 0 31 106 13 0.0 0.20 0.70 0.08 2 0.70
85.0 36.0 0 37 107 6 0.0 0.24 0.71 0.04 2 0.71
84.0 36.0 0 31 108 11 0.0 0.20 0.72 0.07 2 0.72
83.0 36.0 4 75 54 17 0.02 0.5 0.36 0.11 1 0.5
82.0 36.0 0 34 23 93 0.0 0.22 0.15 0.62 3 0.62
81.0 36.0 0 7 16 127 0.0 0.04 0.10 0.84 3 0.84
80.0 36.0 0 5 13 132 0.0 0.03 0.08 0.88 3 0.88
79.0 36.0 0 9 7 134 0.0 0.06 0.04 0.89 3 0.89
99.0 45.0 145 5 0 0 0.96 0.03 0.0 0.0 0 0.96
98.0 45.0 129 9 3 9 0.86 0.06 0.02 0.06 0 0.86
97.0 45.0 129 7 4 10 0.86 0.04 0.02 0.06 0 0.86
96.0 45.0 131 6 4 9 0.87 0.04 0.02 0.06 0 0.87
95.0 45.0 114 17 9 10 0.76 0.11 0.06 0.06 0 0.76
94.0 45.0 44 36 69 1 0.29 0.24 0.46 0.00 2 0.46
93.0 45.0 11 37 96 6 0.07 0.24 0.64 0.04 2 0.64
92.0 45.0 5 35 102 8 0.03 0.23 0.68 0.05 2 0.68
90.0 45.0 8 28 96 18 0.05 0.18 0.64 0.12 2 0.64
89.0 45.0 1 33 106 10 0.00 0.22 0.70 0.06 2 0.70
88.0 45.0 1 29 99 21 0.00 0.19 0.66 0.14 2 0.66
87.0 45.0 1 37 109 3 0.00 0.24 0.72 0.02 2 0.72
86.0 45.0 0 38 103 9 0.0 0.25 0.68 0.06 2 0.68
85.0 45.0 0 31 96 23 0.0 0.20 0.64 0.15 2 0.64
84.0 45.0 1 36 60 53 0.00 0.24 0.4 0.35 2 0.4
83.0 45.0 0 7 32 111 0.0 0.04 0.21 0.74 3 0.74
82.0 45.0 0 15 19 116 0.0 0.1 0.12 0.77 3 0.77
81.0 45.0 0 18 18 114 0.0 0.12 0.12 0.76 3 0.76
80.0 45.0 2 9 23 116 0.01 0.06 0.15 0.77 3 0.77
79.0 45.0 0 6 12 132 0.0 0.04 0.08 0.88 3 0.88
99.0 50.0 143 7 0 0 0.95 0.04 0.0 0.0 0 0.95
98.0 50.0 119 13 4 14 0.79 0.08 0.02 0.09 0 0.79
97.0 50.0 123 6 7 14 0.82 0.04 0.04 0.09 0 0.82
96.0 50.0 118 8 9 15 0.78 0.05 0.06 0.1 0 0.78
95.0 50.0 41 32 69 8 0.27 0.21 0.46 0.05 2 0.46
94.0 50.0 8 37 100 5 0.05 0.24 0.66 0.03 2 0.66
93.0 50.0 8 38 99 5 0.05 0.25 0.66 0.03 2 0.66
92.0 50.0 5 34 103 8 0.03 0.22 0.68 0.05 2 0.68
90.0 50.0 4 25 100 21 0.02 0.16 0.66 0.14 2 0.66
89.0 50.0 3 60 83 4 0.02 0.4 0.55 0.02 2 0.55
88.0 50.0 4 54 89 3 0.02 0.36 0.59 0.02 2 0.59
87.0 50.0 1 40 103 6 0.00 0.26 0.68 0.04 2 0.68
86.0 50.0 0 27 100 23 0.0 0.18 0.66 0.15 2 0.66
85.0 50.0 0 24 78 48 0.0 0.16 0.52 0.32 2 0.52
84.0 50.0 0 14 35 101 0.0 0.09 0.23 0.67 3 0.67
83.0 50.0 0 4 16 130 0.0 0.02 0.10 0.86 3 0.86
82.0 50.0 0 6 12 132 0.0 0.04 0.08 0.88 3 0.88
81.0 50.0 0 15 14 121 0.0 0.1 0.09 0.80 3 0.80
80.0 50.0 0 6 14 130 0.0 0.04 0.09 0.86 3 0.86
