C T 0 1 2 3 0.0 1.0 2.0 3.0 G P
99.0 23.0 150 0 0 0 1.0 0.0 0.0 0.0 0 1.0
98.0 23.0 139 11 0 0 0.92 0.07 0.0 0.0 0 0.92
97.0 23.0 138 12 0 0 0.92 0.08 0.0 0.0 0 0.92
96.0 23.0 139 11 0 0 0.92 0.07 0.0 0.0 0 0.92
95.0 23.0 136 14 0 0 0.90 0.09 0.0 0.0 0 0.90
94.0 23.0 120 30 0 0 0.8 0.2 0.0 0.0 0 0.8
93.0 23.0 49 100 1 0 0.32 0.66 0.00 0.0 1 0.66
92.0 23.0 35 110 5 0 0.23 0.73 0.03 0.0 1 0.73
90.0 23.0 45 91 14 0 0.3 0.60 0.09 0.0 1 0.60
89.0 23.0 34 108 8 0 0.22 0.72 0.05 0.0 1 0.72
88.0 23.0 19 110 21 0 0.12 0.73 0.14 0.0 1 0.73
87.0 23.0 20 110 20 0 0.13 0.73 0.13 0.0 1 0.73
86.0 23.0 12 107 31 0 0.08 0.71 0.20 0.0 1 0.71
85.0 23.0 17 103 30 0 0.11 0.68 0.2 0.0 1 0.68
84.0 23.0 3 39 105 3 0.02 0.26 0.7 0.02 2 0.7
83.0 23.0 2 48 92 8 0.01 0.32 0.61 0.05 2 0.61
82.0 23.0 0 15 94 41 0.0 0.1 0.62 0.27 2 0.62
81.0 23.0 0 4 66 80 0.0 0.02 0.44 0.53 3 0.53
80.0 23.0 0 5 66 79 0.0 0.03 0.44 0.52 3 0.52
79.0 23.0 0 3 24 123 0.0 0.02 0.16 0.82 3 0.82
99.0 30.0 139 11 0 0 0.92 0.07 0.0 0.0 0 0.92
98.0 30.0 137 13 0 0 0.91 0.08 0.0 0.0 0 0.91
97.0 30.0 130 12 1 7 0.86 0.08 0.00 0.04 0 0.86
96.0 30.0 134 10 0 6 0.89 0.06 0.0 0.04 0 0.89
95.0 30.0 138 12 0 0 0.92 0.08 0.0 0.0 0 0.92
94.0 30.0 123 23 1 3 0.82 0.15 0.00 0.02 0 0.82
93.0 30.0 101 45 4 0 0.67 0.3 0.02 0.0 0 0.67
92.0 30.0 45 75 30 0 0.3 0.5 0.2 0.0 1 0.5
90.0 30.0 14 113 21 2 0.09 0.75 0.14 0.01 1 0.75
89.0 30.0 28 89 33 0 0.18 0.59 0.22 0.0 1 0.59
88.0 30.0 30 60 57 3 0.2 0.4 0.38 0.02 1 0.4
87.0 30.0 17 79 51 3 0.11 0.52 0.34 0.02 1 0.52
86.0 30.0 5 49 89 7 0.03 0.32 0.59 0.04 2 0.59
85.0 30.0 1 34 96 19 0.00 0.22 0.64 0.12 2 0.64
84.0 30.0 0 16 94 40 0.0 0.10 0.62 0.26 2 0.62
83.0 30.0 0 9 87 54 0.0 0.06 0.58 0.36 2 0.58
82.0 30.0 0 11 83 56 0.0 0.07 0.55 0.37 2 0.55
81.0 30.0 0 5 27 118 0.0 0.03 0.18 0.78 3 0.78
80.0 30.0 0 2 28 120 0.0 0.01 0.18 0.8 3 0.8
79.0 30.0 0 3 27 120 0.0 0.02 0.18 0.8 3 0.8
99.0 36.0 141 9 0 0 0.94 0.06 0.0 0.0 0 0.94
98.0 36.0 140 10 0 0 0.93 0.06 0.0 0.0 0 0.93
97.0 36.0 131 10 2 7 0.87 0.06 0.01 0.04 0 0.87
96.0 36.0 127 15 1 7 0.84 0.1 0.00 0.04 0 0.84
95.0 36.0 135 13 0 2 0.9 0.08 0.0 0.01 0 0.9
94.0 36.0 79 69 2 0 0.52 0.46 0.01 0.0 0 0.52
93.0 36.0 39 104 7 0 0.26 0.69 0.04 0.0 1 0.69
92.0 36.0 36 78 36 0 0.24 0.52 0.24 0.0 1 0.52
90.0 36.0 34 74 42 0 0.22 0.49 0.28 0.0 1 0.49
89.0 36.0 23 60 64 3 0.15 0.4 0.42 0.02 2 0.42
88.0 36.0 22 56 69 3 0.14 0.37 0.46 0.02 2 0.46
87.0 36.0 7 57 79 7 0.04 0.38 0.52 0.04 2 0.52
86.0 36.0 4 42 90 14 0.02 0.28 0.6 0.09 2 0.6
85.0 36.0 1 23 97 29 0.00 0.15 0.64 0.19 2 0.64
84.0 36.0 0 16 100 34 0.0 0.10 0.66 0.22 2 0.66
83.0 36.0 0 33 102 15 0.0 0.22 0.68 0.1 2 0.68
82.0 36.0 0 14 74 62 0.0 0.09 0.49 0.41 2 0.49
81.0 36.0 0 1 39 110 0.0 0.00 0.26 0.73 3 0.73
80.0 36.0 0 1 30 119 0.0 0.00 0.2 0.79 3 0.79
79.0 36.0 0 2 23 125 0.0 0.01 0.15 0.83 3 0.83
99.0 45.0 143 7 0 0 0.95 0.04 0.0 0.0 0 0.95
98.0 45.0 118 14 4 14 0.78 0.09 0.02 0.09 0 0.78
97.0 45.0 112 15 9 14 0.74 0.1 0.06 0.09 0 0.74
96.0 45.0 115 13 10 12 0.76 0.08 0.06 0.08 0 0.76
95.0 45.0 82 44 12 12 0.54 0.29 0.08 0.08 0 0.54
94.0 45.0 66 51 33 0 0.44 0.34 0.22 0.0 0 0.44
93.0 45.0 30 56 59 5 0.2 0.37 0.39 0.03 2 0.39
92.0 45.0 20 51 74 5 0.13 0.34 0.49 0.03 2 0.49
90.0 45.0 11 46 87 6 0.07 0.30 0.58 0.04 2 0.58
89.0 45.0 5 53 84 8 0.03 0.35 0.56 0.05 2 0.56
88.0 45.0 3 39 95 13 0.02 0.26 0.63 0.08 2 0.63
87.0 45.0 2 34 102 12 0.01 0.22 0.68 0.08 2 0.68
86.0 45.0 1 30 98 21 0.00 0.2 0.65 0.14 2 0.65
85.0 45.0 0 20 92 38 0.0 0.13 0.61 0.25 2 0.61
