C T 0 1 2 3 0.0 1.0 2.0 3.0 G P
99.0 23.0 150 0 0 0 1.0 0.0 0.0 0.0 0 1.0
98.0 23.0 146 4 0 0 0.97 0.02 0.0 0.0 0 0.97
97.0 23.0 146 4 0 0 0.97 0.02 0.0 0.0 0 0.97
96.0 23.0 147 3 0 0 0.98 0.02 0.0 0.0 0 0.98
95.0 23.0 144 6 0 0 0.96 0.04 0.0 0.0 0 0.96
94.0 23.0 139 11 0 0 0.92 0.07 0.0 0.0 0 0.92
93.0 23.0 118 32 0 0 0.78 0.21 0.0 0.0 0 0.78
92.0 23.0 78 72 0 0 0.52 0.48 0.0 0.0 0 0.52
90.0 23.0 66 84 0 0 0.44 0.56 0.0 0.0 1 0.56
89.0 23.0 49 101 0 0 0.32 0.67 0.0 0.0 1 0.67
88.0 23.0 30 120 0 0 0.2 0.8 0.0 0.0 1 0.8
87.0 23.0 26 123 1 0 0.17 0.82 0.00 0.0 1 0.82
86.0 23.0 23 124 3 0 0.15 0.82 0.02 0.0 1 0.82
85.0 23.0 14 132 4 0 0.09 0.88 0.02 0.0 1 0.88
84.0 23.0 5 124 21 0 0.03 0.82 0.14 0.0 1 0.82
83.0 23.0 1 126 23 0 0.00 0.84 0.15 0.0 1 0.84
82.0 23.0 1 101 48 0 0.00 0.67 0.32 0.0 1 0.67
81.0 23.0 1 62 87 0 0.00 0.41 0.58 0.0 2 0.58
80.0 23.0 0 34 116 0 0.0 0.22 0.77 0.0 2 0.77
79.0 23.0 0 14 136 0 0.0 0.09 0.90 0.0 2 0.90
99.0 30.0 146 4 0 0 0.97 0.02 0.0 0.0 0 0.97
98.0 30.0 145 5 0 0 0.96 0.03 0.0 0.0 0 0.96
97.0 30.0 146 2 2 0 0.97 0.01 0.01 0.0 0 0.97
96.0 30.0 147 2 1 0 0.98 0.01 0.00 0.0 0 0.98
95.0 30.0 145 5 0 0 0.96 0.03 0.0 0.0 0 0.96
94.0 30.0 139 11 0 0 0.92 0.07 0.0 0.0 0 0.92
93.0 30.0 120 30 0 0 0.8 0.2 0.0 0.0 0 0.8
92.0 30.0 58 90 2 0 0.38 0.6 0.01 0.0 1 0.6
90.0 30.0 26 122 2 0 0.17 0.81 0.01 0.0 1 0.81
89.0 30.0 27 123 0 0 0.18 0.82 0.0 0.0 1 0.82
88.0 30.0 24 117 9 0 0.16 0.78 0.06 0.0 1 0.78
87.0 30.0 18 128 4 0 0.12 0.85 0.02 0.0 1 0.85
86.0 30.0 7 124 19 0 0.04 0.82 0.12 0.0 1 0.82
