C T 0 1 2 3 0.0 1.0 2.0 3.0 G P
99.0 23.0 150 0 0 0 1.0 0.0 0.0 0.0 0 1.0
98.0 23.0 138 12 0 0 0.92 0.08 0.0 0.0 0 0.92
97.0 23.0 140 10 0 0 0.93 0.06 0.0 0.0 0 0.93
96.0 23.0 140 10 0 0 0.93 0.06 0.0 0.0 0 0.93
95.0 23.0 138 12 0 0 0.92 0.08 0.0 0.0 0 0.92
94.0 23.0 125 25 0 0 0.83 0.16 0.0 0.0 0 0.83
93.0 23.0 62 88 0 0 0.41 0.58 0.0 0.0 1 0.58
92.0 23.0 43 107 0 0 0.28 0.71 0.0 0.0 1 0.71
90.0 23.0 45 105 0 0 0.3 0.7 0.0 0.0 1 0.7
89.0 23.0 39 111 0 0 0.26 0.74 0.0 0.0 1 0.74
88.0 23.0 31 119 0 0 0.20 0.79 0.0 0.0 1 0.79
87.0 23.0 33 117 0 0 0.22 0.78 0.0 0.0 1 0.78
86.0 23.0 25 123 2 0 0.16 0.82 0.01 0.0 1 0.82
85.0 23.0 21 128 1 0 0.14 0.85 0.00 0.0 1 0.85
84.0 23.0 9 98 43 0 0.06 0.65 0.28 0.0 1 0.65
83.0 23.0 8 120 22 0 0.05 0.8 0.14 0.0 1 0.8
82.0 23.0 2 55 93 0 0.01 0.36 0.62 0.0 2 0.62
81.0 23.0 0 15 135 0 0.0 0.1 0.9 0.0 2 0.9
80.0 23.0 0 11 139 0 0.0 0.07 0.92 0.0 2 0.92
79.0 23.0 0 14 136 0 0.0 0.09 0.90 0.0 2 0.90
99.0 30.0 142 8 0 0 0.94 0.05 0.0 0.0 0 0.94
98.0 30.0 138 12 0 0 0.92 0.08 0.0 0.0 0 0.92
97.0 30.0 137 12 1 0 0.91 0.08 0.00 0.0 0 0.91
96.0 30.0 141 9 0 0 0.94 0.06 0.0 0.0 0 0.94
95.0 30.0 136 14 0 0 0.90 0.09 0.0 0.0 0 0.90
94.0 30.0 132 18 0 0 0.88 0.12 0.0 0.0 0 0.88
93.0 30.0 122 28 0 0 0.81 0.18 0.0 0.0 0 0.81
92.0 30.0 61 89 0 0 0.40 0.59 0.0 0.0 1 0.59
90.0 30.0 28 120 2 0 0.18 0.8 0.01 0.0 1 0.8
89.0 30.0 29 120 1 0 0.19 0.8 0.00 0.0 1 0.8
88.0 30.0 43 102 5 0 0.28 0.68 0.03 0.0 1 0.68
87.0 30.0 25 123 2 0 0.16 0.82 0.01 0.0 1 0.82
86.0 30.0 11 112 27 0 0.07 0.74 0.18 0.0 1 0.74
85.0 30.0 4 90 56 0 0.02 0.6 0.37 0.0 1 0.6
84.0 30.0 1 34 115 0 0.00 0.22 0.76 0.0 2 0.76
83.0 30.0 2 20 128 0 0.01 0.13 0.85 0.0 2 0.85
82.0 30.0 0 33 117 0 0.0 0.22 0.78 0.0 2 0.78
81.0 30.0 0 13 137 0 0.0 0.08 0.91 0.0 2 0.91
80.0 30.0 0 13 137 0 0.0 0.08 0.91 0.0 2 0.91
79.0 30.0 0 11 139 0 0.0 0.07 0.92 0.0 2 0.92
99.0 36.0 145 5 0 0 0.96 0.03 0.0 0.0 0 0.96
98.0 36.0 140 10 0 0 0.93 0.06 0.0 0.0 0 0.93
97.0 36.0 137 12 1 0 0.91 0.08 0.00 0.0 0 0.91
96.0 36.0 137 13 0 0 0.91 0.08 0.0 0.0 0 0.91
95.0 36.0 142 8 0 0 0.94 0.05 0.0 0.0 0 0.94
94.0 36.0 94 56 0 0 0.62 0.37 0.0 0.0 0 0.62
93.0 36.0 49 101 0 0 0.32 0.67 0.0 0.0 1 0.67
92.0 36.0 44 106 0 0 0.29 0.70 0.0 0.0 1 0.70
90.0 36.0 40 108 2 0 0.26 0.72 0.01 0.0 1 0.72
89.0 36.0 44 102 4 0 0.29 0.68 0.02 0.0 1 0.68
88.0 36.0 32 107 11 0 0.21 0.71 0.07 0.0 1 0.71
87.0 36.0 11 121 18 0 0.07 0.80 0.12 0.0 1 0.80
86.0 36.0 5 69 76 0 0.03 0.46 0.50 0.0 2 0.50
85.0 36.0 2 55 93 0 0.01 0.36 0.62 0.0 2 0.62
84.0 36.0 1 51 98 0 0.00 0.34 0.65 0.0 2 0.65
83.0 36.0 7 102 41 0 0.04 0.68 0.27 0.0 1 0.68
82.0 36.0 1 34 115 0 0.00 0.22 0.76 0.0 2 0.76
81.0 36.0 0 12 138 0 0.0 0.08 0.92 0.0 2 0.92
80.0 36.0 0 7 143 0 0.0 0.04 0.95 0.0 2 0.95
79.0 36.0 0 11 139 0 0.0 0.07 0.92 0.0 2 0.92
99.0 45.0 145 5 0 0 0.96 0.03 0.0 0.0 0 0.96
98.0 45.0 133 14 3 0 0.88 0.09 0.02 0.0 0 0.88
97.0 45.0 133 14 3 0 0.88 0.09 0.02 0.0 0 0.88
96.0 45.0 129 17 4 0 0.86 0.11 0.02 0.0 0 0.86
95.0 45.0 126 21 3 0 0.84 0.14 0.02 0.0 0 0.84
94.0 45.0 100 49 1 0 0.66 0.32 0.00 0.0 0 0.66
93.0 45.0 69 80 1 0 0.46 0.53 0.00 0.0 1 0.53
92.0 45.0 42 88 20 0 0.28 0.58 0.13 0.0 1 0.58
90.0 45.0 17 65 68 0 0.11 0.43 0.45 0.0 2 0.45
89.0 45.0 6 92 52 0 0.04 0.61 0.34 0.0 1 0.61
88.0 45.0 8 54 88 0 0.05 0.36 0.58 0.0 2 0.58
87.0 45.0 5 93 52 0 0.03 0.62 0.34 0.0 1 0.62
86.0 45.0 2 56 92 0 0.01 0.37 0.61 0.0 2 0.61
85.0 45.0 0 40 110 0 0.0 0.26 0.73 0.0 2 0.73
84.0 45.0 2 39 109 0 0.01 0.26 0.72 0.0 2 0.72
83.0 45.0 0 10 140 0 0.0 0.06 0.93 0.0 2 0.93
82.0 45.0 1 17 132 0 0.00 0.11 0.88 0.0 2 0.88
81.0 45.0 0 19 131 0 0.0 0.12 0.87 0.0 2 0.87
80.0 45.0 1 14 135 0 0.00 0.09 0.9 0.0 2 0.9
79.0 45.0 0 10 140 0 0.0 0.06 0.93 0.0 2 0.93
99.0 50.0 142 8 0 0 0.94 0.05 0.0 0.0 0 0.94
98.0 50.0 129 16 5 0 0.86 0.10 0.03 0.0 0 0.86
97.0 50.0 130 16 4 0 0.86 0.10 0.02 0.0 0 0.86
