C T 0 1 2 3 0.0 1.0 2.0 3.0 G P
99.0 23.0 150 0 0 0 1.0 0.0 0.0 0.0 0 1.0
98.0 23.0 145 5 0 0 0.96 0.03 0.0 0.0 0 0.96
97.0 23.0 143 7 0 0 0.95 0.04 0.0 0.0 0 0.95
96.0 23.0 145 5 0 0 0.96 0.03 0.0 0.0 0 0.96
95.0 23.0 142 8 0 0 0.94 0.05 0.0 0.0 0 0.94
94.0 23.0 134 16 0 0 0.89 0.10 0.0 0.0 0 0.89
93.0 23.0 85 65 0 0 0.56 0.43 0.0 0.0 0 0.56
92.0 23.0 57 93 0 0 0.38 0.62 0.0 0.0 1 0.62
90.0 23.0 88 62 0 0 0.58 0.41 0.0 0.0 0 0.58
89.0 23.0 45 105 0 0 0.3 0.7 0.0 0.0 1 0.7
88.0 23.0 31 119 0 0 0.20 0.79 0.0 0.0 1 0.79
87.0 23.0 31 119 0 0 0.20 0.79 0.0 0.0 1 0.79
86.0 23.0 25 121 4 0 0.16 0.80 0.02 0.0 1 0.80
85.0 23.0 25 123 2 0 0.16 0.82 0.01 0.0 1 0.82
84.0 23.0 11 99 40 0 0.07 0.66 0.26 0.0 1 0.66
83.0 23.0 5 124 21 0 0.03 0.82 0.14 0.0 1 0.82
82.0 23.0 1 49 100 0 0.00 0.32 0.66 0.0 2 0.66
81.0 23.0 0 20 130 0 0.0 0.13 0.86 0.0 2 0.86
80.0 23.0 0 15 135 0 0.0 0.1 0.9 0.0 2 0.9
79.0 23.0 0 18 132 0 0.0 0.12 0.88 0.0 2 0.88
99.0 30.0 143 7 0 0 0.95 0.04 0.0 0.0 0 0.95
98.0 30.0 142 8 0 0 0.94 0.05 0.0 0.0 0 0.94
97.0 30.0 141 7 2 0 0.94 0.04 0.01 0.0 0 0.94
96.0 30.0 143 6 1 0 0.95 0.04 0.00 0.0 0 0.95
95.0 30.0 142 8 0 0 0.94 0.05 0.0 0.0 0 0.94
94.0 30.0 140 10 0 0 0.93 0.06 0.0 0.0 0 0.93
93.0 30.0 138 12 0 0 0.92 0.08 0.0 0.0 0 0.92
92.0 30.0 114 36 0 0 0.76 0.24 0.0 0.0 0 0.76
90.0 30.0 27 121 2 0 0.18 0.80 0.01 0.0 1 0.80
89.0 30.0 62 85 3 0 0.41 0.56 0.02 0.0 1 0.56
88.0 30.0 72 75 3 0 0.48 0.5 0.02 0.0 1 0.5
87.0 30.0 45 104 1 0 0.3 0.69 0.00 0.0 1 0.69
86.0 30.0 17 112 21 0 0.11 0.74 0.14 0.0 1 0.74
85.0 30.0 3 91 56 0 0.02 0.60 0.37 0.0 1 0.60
84.0 30.0 0 35 115 0 0.0 0.23 0.76 0.0 2 0.76
83.0 30.0 1 21 128 0 0.00 0.14 0.85 0.0 2 0.85
82.0 30.0 0 30 120 0 0.0 0.2 0.8 0.0 2 0.8
81.0 30.0 0 18 132 0 0.0 0.12 0.88 0.0 2 0.88
80.0 30.0 0 14 136 0 0.0 0.09 0.90 0.0 2 0.90
79.0 30.0 0 16 134 0 0.0 0.10 0.89 0.0 2 0.89
99.0 36.0 146 4 0 0 0.97 0.02 0.0 0.0 0 0.97
98.0 36.0 145 5 0 0 0.96 0.03 0.0 0.0 0 0.96
97.0 36.0 143 6 1 0 0.95 0.04 0.00 0.0 0 0.95
96.0 36.0 141 8 1 0 0.94 0.05 0.00 0.0 0 0.94
95.0 36.0 143 7 0 0 0.95 0.04 0.0 0.0 0 0.95
94.0 36.0 123 27 0 0 0.82 0.18 0.0 0.0 0 0.82
93.0 36.0 66 84 0 0 0.44 0.56 0.0 0.0 1 0.56
92.0 36.0 94 56 0 0 0.62 0.37 0.0 0.0 0 0.62
90.0 36.0 68 81 1 0 0.45 0.54 0.00 0.0 1 0.54
89.0 36.0 87 62 1 0 0.58 0.41 0.00 0.0 0 0.58
88.0 36.0 73 73 4 0 0.48 0.48 0.02 0.0 0 0.48
87.0 36.0 12 123 15 0 0.08 0.82 0.1 0.0 1 0.82
86.0 36.0 15 56 79 0 0.1 0.37 0.52 0.0 2 0.52
85.0 36.0 1 52 97 0 0.00 0.34 0.64 0.0 2 0.64
84.0 36.0 0 47 103 0 0.0 0.31 0.68 0.0 2 0.68
83.0 36.0 4 100 46 0 0.02 0.66 0.30 0.0 1 0.66
82.0 36.0 1 39 110 0 0.00 0.26 0.73 0.0 2 0.73
81.0 36.0 0 17 133 0 0.0 0.11 0.88 0.0 2 0.88
80.0 36.0 0 10 140 0 0.0 0.06 0.93 0.0 2 0.93
79.0 36.0 0 11 139 0 0.0 0.07 0.92 0.0 2 0.92
99.0 45.0 146 4 0 0 0.97 0.02 0.0 0.0 0 0.97
98.0 45.0 138 9 3 0 0.92 0.06 0.02 0.0 0 0.92
97.0 45.0 136 10 4 0 0.90 0.06 0.02 0.0 0 0.90
96.0 45.0 133 13 4 0 0.88 0.08 0.02 0.0 0 0.88
95.0 45.0 132 15 3 0 0.88 0.1 0.02 0.0 0 0.88
94.0 45.0 131 18 1 0 0.87 0.12 0.00 0.0 0 0.87
93.0 45.0 119 30 1 0 0.79 0.2 0.00 0.0 0 0.79
92.0 45.0 95 48 7 0 0.63 0.32 0.04 0.0 0 0.63
90.0 45.0 75 37 38 0 0.5 0.24 0.25 0.0 0 0.5
89.0 45.0 36 74 40 0 0.24 0.49 0.26 0.0 1 0.49
88.0 45.0 17 42 91 0 0.11 0.28 0.60 0.0 2 0.60
87.0 45.0 3 90 57 0 0.02 0.6 0.38 0.0 1 0.6
86.0 45.0 2 46 102 0 0.01 0.30 0.68 0.0 2 0.68
85.0 45.0 1 30 119 0 0.00 0.2 0.79 0.0 2 0.79
84.0 45.0 1 42 107 0 0.00 0.28 0.71 0.0 2 0.71
83.0 45.0 0 14 136 0 0.0 0.09 0.90 0.0 2 0.90
