C T 0 1 2 3 0.0 1.0 2.0 3.0 G P
99.0 23.0 150 0 0 0 1.0 0.0 0.0 0.0 0 1.0
98.0 23.0 139 11 0 0 0.92 0.07 0.0 0.0 0 0.92
97.0 23.0 140 10 0 0 0.93 0.06 0.0 0.0 0 0.93
96.0 23.0 141 9 0 0 0.94 0.06 0.0 0.0 0 0.94
95.0 23.0 136 14 0 0 0.90 0.09 0.0 0.0 0 0.90
94.0 23.0 126 24 0 0 0.84 0.16 0.0 0.0 0 0.84
93.0 23.0 67 83 0 0 0.44 0.55 0.0 0.0 1 0.55
92.0 23.0 47 103 0 0 0.31 0.68 0.0 0.0 1 0.68
90.0 23.0 49 101 0 0 0.32 0.67 0.0 0.0 1 0.67
89.0 23.0 44 106 0 0 0.29 0.70 0.0 0.0 1 0.70
88.0 23.0 30 120 0 0 0.2 0.8 0.0 0.0 1 0.8
87.0 23.0 35 115 0 0 0.23 0.76 0.0 0.0 1 0.76
86.0 23.0 25 123 2 0 0.16 0.82 0.01 0.0 1 0.82
85.0 23.0 22 127 1 0 0.14 0.84 0.00 0.0 1 0.84
84.0 23.0 10 96 44 0 0.06 0.64 0.29 0.0 1 0.64
83.0 23.0 9 118 23 0 0.06 0.78 0.15 0.0 1 0.78
82.0 23.0 2 54 94 0 0.01 0.36 0.62 0.0 2 0.62
81.0 23.0 2 14 134 0 0.01 0.09 0.89 0.0 2 0.89
80.0 23.0 0 11 139 0 0.0 0.07 0.92 0.0 2 0.92
79.0 23.0 0 14 136 0 0.0 0.09 0.90 0.0 2 0.90
99.0 30.0 140 10 0 0 0.93 0.06 0.0 0.0 0 0.93
98.0 30.0 138 12 0 0 0.92 0.08 0.0 0.0 0 0.92
97.0 30.0 136 14 0 0 0.90 0.09 0.0 0.0 0 0.90
96.0 30.0 138 12 0 0 0.92 0.08 0.0 0.0 0 0.92
95.0 30.0 136 14 0 0 0.90 0.09 0.0 0.0 0 0.90
94.0 30.0 134 16 0 0 0.89 0.10 0.0 0.0 0 0.89
93.0 30.0 125 25 0 0 0.83 0.16 0.0 0.0 0 0.83
92.0 30.0 63 87 0 0 0.42 0.58 0.0 0.0 1 0.58
90.0 30.0 27 121 2 0 0.18 0.80 0.01 0.0 1 0.80
89.0 30.0 30 119 1 0 0.2 0.79 0.00 0.0 1 0.79
88.0 30.0 41 103 6 0 0.27 0.68 0.04 0.0 1 0.68
87.0 30.0 25 120 5 0 0.16 0.8 0.03 0.0 1 0.8
86.0 30.0 12 109 29 0 0.08 0.72 0.19 0.0 1 0.72
85.0 30.0 4 91 55 0 0.02 0.60 0.36 0.0 1 0.60
84.0 30.0 2 35 113 0 0.01 0.23 0.75 0.0 2 0.75
83.0 30.0 3 24 123 0 0.02 0.16 0.82 0.0 2 0.82
82.0 30.0 1 30 119 0 0.00 0.2 0.79 0.0 2 0.79
81.0 30.0 0 12 138 0 0.0 0.08 0.92 0.0 2 0.92
80.0 30.0 0 12 138 0 0.0 0.08 0.92 0.0 2 0.92
79.0 30.0 0 10 140 0 0.0 0.06 0.93 0.0 2 0.93
99.0 36.0 143 7 0 0 0.95 0.04 0.0 0.0 0 0.95
98.0 36.0 142 8 0 0 0.94 0.05 0.0 0.0 0 0.94
97.0 36.0 136 14 0 0 0.90 0.09 0.0 0.0 0 0.90
96.0 36.0 135 15 0 0 0.9 0.1 0.0 0.0 0 0.9
95.0 36.0 140 10 0 0 0.93 0.06 0.0 0.0 0 0.93
94.0 36.0 95 55 0 0 0.63 0.36 0.0 0.0 0 0.63
93.0 36.0 55 95 0 0 0.36 0.63 0.0 0.0 1 0.63
92.0 36.0 46 104 0 0 0.30 0.69 0.0 0.0 1 0.69
90.0 36.0 40 108 2 0 0.26 0.72 0.01 0.0 1 0.72
89.0 36.0 42 104 4 0 0.28 0.69 0.02 0.0 1 0.69
88.0 36.0 30 108 12 0 0.2 0.72 0.08 0.0 1 0.72
87.0 36.0 12 118 20 0 0.08 0.78 0.13 0.0 1 0.78
86.0 36.0 6 66 78 0 0.04 0.44 0.52 0.0 2 0.52
85.0 36.0 3 59 88 0 0.02 0.39 0.58 0.0 2 0.58
84.0 36.0 3 48 99 0 0.02 0.32 0.66 0.0 2 0.66
83.0 36.0 8 99 43 0 0.05 0.66 0.28 0.0 1 0.66
82.0 36.0 1 31 118 0 0.00 0.20 0.78 0.0 2 0.78
81.0 36.0 0 11 139 0 0.0 0.07 0.92 0.0 2 0.92
80.0 36.0 0 6 144 0 0.0 0.04 0.96 0.0 2 0.96
79.0 36.0 0 9 141 0 0.0 0.06 0.94 0.0 2 0.94
99.0 45.0 144 6 0 0 0.96 0.04 0.0 0.0 0 0.96
98.0 45.0 134 15 1 0 0.89 0.1 0.00 0.0 0 0.89
97.0 45.0 132 16 2 0 0.88 0.10 0.01 0.0 0 0.88
96.0 45.0 130 17 3 0 0.86 0.11 0.02 0.0 0 0.86
95.0 45.0 124 23 3 0 0.82 0.15 0.02 0.0 0 0.82
94.0 45.0 98 52 0 0 0.65 0.34 0.0 0.0 0 0.65
93.0 45.0 65 83 2 0 0.43 0.55 0.01 0.0 1 0.55
92.0 45.0 39 88 23 0 0.26 0.58 0.15 0.0 1 0.58
90.0 45.0 18 64 68 0 0.12 0.42 0.45 0.0 2 0.45
89.0 45.0 8 90 52 0 0.05 0.6 0.34 0.0 1 0.6
88.0 45.0 8 54 88 0 0.05 0.36 0.58 0.0 2 0.58
87.0 45.0 5 91 54 0 0.03 0.60 0.36 0.0 1 0.60
86.0 45.0 4 58 88 0 0.02 0.38 0.58 0.0 2 0.58
85.0 45.0 2 38 110 0 0.01 0.25 0.73 0.0 2 0.73
