C T 0 1 2 3 0.0 1.0 2.0 3.0 G P
99.0 23.0 150 0 0 0 1.0 0.0 0.0 0.0 0 1.0
98.0 23.0 147 3 0 0 0.98 0.02 0.0 0.0 0 0.98
97.0 23.0 147 3 0 0 0.98 0.02 0.0 0.0 0 0.98
96.0 23.0 146 4 0 0 0.97 0.02 0.0 0.0 0 0.97
95.0 23.0 143 7 0 0 0.95 0.04 0.0 0.0 0 0.95
94.0 23.0 135 15 0 0 0.9 0.1 0.0 0.0 0 0.9
93.0 23.0 116 34 0 0 0.77 0.22 0.0 0.0 0 0.77
92.0 23.0 97 53 0 0 0.64 0.35 0.0 0.0 0 0.64
90.0 23.0 92 58 0 0 0.61 0.38 0.0 0.0 0 0.61
89.0 23.0 88 62 0 0 0.58 0.41 0.0 0.0 0 0.58
88.0 23.0 81 69 0 0 0.54 0.46 0.0 0.0 0 0.54
87.0 23.0 78 72 0 0 0.52 0.48 0.0 0.0 0 0.52
86.0 23.0 69 81 0 0 0.46 0.54 0.0 0.0 1 0.54
85.0 23.0 60 90 0 0 0.4 0.6 0.0 0.0 1 0.6
84.0 23.0 46 104 0 0 0.30 0.69 0.0 0.0 1 0.69
83.0 23.0 34 116 0 0 0.22 0.77 0.0 0.0 1 0.77
82.0 23.0 30 120 0 0 0.2 0.8 0.0 0.0 1 0.8
81.0 23.0 28 122 0 0 0.18 0.81 0.0 0.0 1 0.81
80.0 23.0 18 132 0 0 0.12 0.88 0.0 0.0 1 0.88
79.0 23.0 15 135 0 0 0.1 0.9 0.0 0.0 1 0.9
99.0 30.0 146 4 0 0 0.97 0.02 0.0 0.0 0 0.97
98.0 30.0 144 6 0 0 0.96 0.04 0.0 0.0 0 0.96
97.0 30.0 145 5 0 0 0.96 0.03 0.0 0.0 0 0.96
96.0 30.0 143 7 0 0 0.95 0.04 0.0 0.0 0 0.95
95.0 30.0 144 6 0 0 0.96 0.04 0.0 0.0 0 0.96
94.0 30.0 133 17 0 0 0.88 0.11 0.0 0.0 0 0.88
93.0 30.0 109 41 0 0 0.72 0.27 0.0 0.0 0 0.72
92.0 30.0 87 63 0 0 0.58 0.42 0.0 0.0 0 0.58
90.0 30.0 79 71 0 0 0.52 0.47 0.0 0.0 0 0.52
89.0 30.0 76 74 0 0 0.50 0.49 0.0 0.0 0 0.50
88.0 30.0 71 79 0 0 0.47 0.52 0.0 0.0 1 0.52
87.0 30.0 59 91 0 0 0.39 0.60 0.0 0.0 1 0.60
86.0 30.0 46 104 0 0 0.30 0.69 0.0 0.0 1 0.69
85.0 30.0 32 118 0 0 0.21 0.78 0.0 0.0 1 0.78
84.0 30.0 26 124 0 0 0.17 0.82 0.0 0.0 1 0.82
83.0 30.0 24 126 0 0 0.16 0.84 0.0 0.0 1 0.84
82.0 30.0 20 130 0 0 0.13 0.86 0.0 0.0 1 0.86
81.0 30.0 21 129 0 0 0.14 0.86 0.0 0.0 1 0.86
80.0 30.0 14 136 0 0 0.09 0.90 0.0 0.0 1 0.90
79.0 30.0 13 137 0 0 0.08 0.91 0.0 0.0 1 0.91
99.0 36.0 147 3 0 0 0.98 0.02 0.0 0.0 0 0.98
98.0 36.0 148 2 0 0 0.98 0.01 0.0 0.0 0 0.98
97.0 36.0 147 3 0 0 0.98 0.02 0.0 0.0 0 0.98
96.0 36.0 143 7 0 0 0.95 0.04 0.0 0.0 0 0.95
95.0 36.0 145 5 0 0 0.96 0.03 0.0 0.0 0 0.96
