C T 0 1 2 3 0.0 1.0 2.0 3.0 G P
99.0 23.0 150 0 0 0 1.0 0.0 0.0 0.0 0 1.0
98.0 23.0 149 1 0 0 0.99 0.00 0.0 0.0 0 0.99
97.0 23.0 149 1 0 0 0.99 0.00 0.0 0.0 0 0.99
96.0 23.0 148 2 0 0 0.98 0.01 0.0 0.0 0 0.98
95.0 23.0 149 1 0 0 0.99 0.00 0.0 0.0 0 0.99
94.0 23.0 144 6 0 0 0.96 0.04 0.0 0.0 0 0.96
93.0 23.0 130 20 0 0 0.86 0.13 0.0 0.0 0 0.86
92.0 23.0 102 48 0 0 0.68 0.32 0.0 0.0 0 0.68
90.0 23.0 112 38 0 0 0.74 0.25 0.0 0.0 0 0.74
89.0 23.0 88 62 0 0 0.58 0.41 0.0 0.0 0 0.58
88.0 23.0 75 75 0 0 0.5 0.5 0.0 0.0 0 0.5
87.0 23.0 76 74 0 0 0.50 0.49 0.0 0.0 0 0.50
86.0 23.0 68 82 0 0 0.45 0.54 0.0 0.0 1 0.54
85.0 23.0 64 86 0 0 0.42 0.57 0.0 0.0 1 0.57
84.0 23.0 56 94 0 0 0.37 0.62 0.0 0.0 1 0.62
83.0 23.0 49 101 0 0 0.32 0.67 0.0 0.0 1 0.67
82.0 23.0 19 131 0 0 0.12 0.87 0.0 0.0 1 0.87
81.0 23.0 7 143 0 0 0.04 0.95 0.0 0.0 1 0.95
80.0 23.0 5 145 0 0 0.03 0.96 0.0 0.0 1 0.96
79.0 23.0 11 139 0 0 0.07 0.92 0.0 0.0 1 0.92
99.0 30.0 149 1 0 0 0.99 0.00 0.0 0.0 0 0.99
98.0 30.0 148 2 0 0 0.98 0.01 0.0 0.0 0 0.98
97.0 30.0 149 1 0 0 0.99 0.00 0.0 0.0 0 0.99
96.0 30.0 149 1 0 0 0.99 0.00 0.0 0.0 0 0.99
95.0 30.0 149 1 0 0 0.99 0.00 0.0 0.0 0 0.99
94.0 30.0 142 8 0 0 0.94 0.05 0.0 0.0 0 0.94
93.0 30.0 145 5 0 0 0.96 0.03 0.0 0.0 0 0.96
92.0 30.0 109 41 0 0 0.72 0.27 0.0 0.0 0 0.72
90.0 30.0 74 76 0 0 0.49 0.50 0.0 0.0 1 0.50
89.0 30.0 79 71 0 0 0.52 0.47 0.0 0.0 0 0.52
88.0 30.0 87 63 0 0 0.58 0.42 0.0 0.0 0 0.58
