C T 0 1 2 3 0.0 1.0 2.0 3.0 G P
99.0 23.0 150 0 0 0 1.0 0.0 0.0 0.0 0 1.0
98.0 23.0 149 1 0 0 0.99 0.00 0.0 0.0 0 0.99
97.0 23.0 149 1 0 0 0.99 0.00 0.0 0.0 0 0.99
96.0 23.0 148 2 0 0 0.98 0.01 0.0 0.0 0 0.98
95.0 23.0 149 1 0 0 0.99 0.00 0.0 0.0 0 0.99
94.0 23.0 145 5 0 0 0.96 0.03 0.0 0.0 0 0.96
93.0 23.0 139 11 0 0 0.92 0.07 0.0 0.0 0 0.92
92.0 23.0 128 22 0 0 0.85 0.14 0.0 0.0 0 0.85
90.0 23.0 138 12 0 0 0.92 0.08 0.0 0.0 0 0.92
89.0 23.0 105 45 0 0 0.7 0.3 0.0 0.0 0 0.7
88.0 23.0 76 74 0 0 0.50 0.49 0.0 0.0 0 0.50
87.0 23.0 81 69 0 0 0.54 0.46 0.0 0.0 0 0.54
86.0 23.0 71 79 0 0 0.47 0.52 0.0 0.0 1 0.52
85.0 23.0 70 80 0 0 0.46 0.53 0.0 0.0 1 0.53
84.0 23.0 56 94 0 0 0.37 0.62 0.0 0.0 1 0.62
83.0 23.0 50 100 0 0 0.33 0.66 0.0 0.0 1 0.66
82.0 23.0 16 134 0 0 0.10 0.89 0.0 0.0 1 0.89
81.0 23.0 8 142 0 0 0.05 0.94 0.0 0.0 1 0.94
80.0 23.0 5 145 0 0 0.03 0.96 0.0 0.0 1 0.96
79.0 23.0 19 131 0 0 0.12 0.87 0.0 0.0 1 0.87
99.0 30.0 149 1 0 0 0.99 0.00 0.0 0.0 0 0.99
98.0 30.0 149 1 0 0 0.99 0.00 0.0 0.0 0 0.99
97.0 30.0 149 1 0 0 0.99 0.00 0.0 0.0 0 0.99
96.0 30.0 149 1 0 0 0.99 0.00 0.0 0.0 0 0.99
95.0 30.0 149 1 0 0 0.99 0.00 0.0 0.0 0 0.99
94.0 30.0 145 5 0 0 0.96 0.03 0.0 0.0 0 0.96
93.0 30.0 146 4 0 0 0.97 0.02 0.0 0.0 0 0.97
92.0 30.0 138 12 0 0 0.92 0.08 0.0 0.0 0 0.92
90.0 30.0 75 75 0 0 0.5 0.5 0.0 0.0 0 0.5
89.0 30.0 105 45 0 0 0.7 0.3 0.0 0.0 0 0.7
88.0 30.0 105 45 0 0 0.7 0.3 0.0 0.0 0 0.7
