C T 0 1 2 3 0.0 1.0 2.0 3.0 G P
99.0 23.0 150 0 0 0 1.0 0.0 0.0 0.0 0 1.0
98.0 23.0 149 1 0 0 0.99 0.00 0.0 0.0 0 0.99
97.0 23.0 148 2 0 0 0.98 0.01 0.0 0.0 0 0.98
96.0 23.0 147 3 0 0 0.98 0.02 0.0 0.0 0 0.98
95.0 23.0 148 2 0 0 0.98 0.01 0.0 0.0 0 0.98
94.0 23.0 146 4 0 0 0.97 0.02 0.0 0.0 0 0.97
93.0 23.0 141 9 0 0 0.94 0.06 0.0 0.0 0 0.94
92.0 23.0 129 21 0 0 0.86 0.14 0.0 0.0 0 0.86
90.0 23.0 130 20 0 0 0.86 0.13 0.0 0.0 0 0.86
89.0 23.0 97 53 0 0 0.64 0.35 0.0 0.0 0 0.64
88.0 23.0 59 91 0 0 0.39 0.60 0.0 0.0 1 0.60
87.0 23.0 64 86 0 0 0.42 0.57 0.0 0.0 1 0.57
86.0 23.0 53 97 0 0 0.35 0.64 0.0 0.0 1 0.64
85.0 23.0 54 96 0 0 0.36 0.64 0.0 0.0 1 0.64
84.0 23.0 44 106 0 0 0.29 0.70 0.0 0.0 1 0.70
83.0 23.0 32 118 0 0 0.21 0.78 0.0 0.0 1 0.78
82.0 23.0 14 136 0 0 0.09 0.90 0.0 0.0 1 0.90
81.0 23.0 3 147 0 0 0.02 0.98 0.0 0.0 1 0.98
80.0 23.0 4 146 0 0 0.02 0.97 0.0 0.0 1 0.97
79.0 23.0 5 145 0 0 0.03 0.96 0.0 0.0 1 0.96
99.0 30.0 148 2 0 0 0.98 0.01 0.0 0.0 0 0.98
98.0 30.0 146 4 0 0 0.97 0.02 0.0 0.0 0 0.97
97.0 30.0 147 3 0 0 0.98 0.02 0.0 0.0 0 0.98
96.0 30.0 147 3 0 0 0.98 0.02 0.0 0.0 0 0.98
95.0 30.0 146 4 0 0 0.97 0.02 0.0 0.0 0 0.97
94.0 30.0 145 5 0 0 0.96 0.03 0.0 0.0 0 0.96
93.0 30.0 146 4 0 0 0.97 0.02 0.0 0.0 0 0.97
92.0 30.0 128 22 0 0 0.85 0.14 0.0 0.0 0 0.85
90.0 30.0 57 93 0 0 0.38 0.62 0.0 0.0 1 0.62
89.0 30.0 87 63 0 0 0.58 0.42 0.0 0.0 0 0.58
88.0 30.0 73 77 0 0 0.48 0.51 0.0 0.0 1 0.51
