V	temp
99	23
98	23
97	23
96	23
95	23
94	23
93	23
92	23
90	23
89	23
88	23
87	23
86	23
85	23
84	23
83	23
82	23
81	23
80	23
79	23
78	23
77	23
76	23
75	23
74	23
73	23
72	23
71	23
70	23
69	23
68	23
67	23
66	23
65	23
64	23
63	23
62	23
61	23
60	23
59	23
58	23
57	23
56	23
55	23
99	30
98	30
97	30
96	30
95	30
94	30
93	30
92	30
90	30
89	30
88	30
87	30
86	30
85	30
84	30
83	30
82	30
81	30
80	30
79	30
78	30
77	30
76	30
75	30
74	30
73	30
72	30
71	30
70	30
69	30
68	30
67	30
66	30
65	30
64	30
63	30
62	30
61	30
60	30
59	30
58	30
57	30
56	30
55	30
99	36
98	36
97	36
96	36
95	36
94	36
93	36
92	36
90	36
89	36
88	36
87	36
86	36
85	36
84	36
83	36
82	36
81	36
80	36
79	36
78	36
77	36
76	36
75	36
74	36
73	36
72	36
71	36
70	36
69	36
68	36
67	36
66	36
65	36
64	36
63	36
62	36
61	36
60	36
59	36
58	36
57	36
56	36
55	36
99	45
98	45
97	45
96	45
95	45
94	45
93	45
92	45
90	45
89	45
88	45
87	45
86	45
85	45
84	45
83	45
82	45
81	45
80	45
79	45
78	45
77	45
76	45
75	45
74	45
73	45
72	45
71	45
70	45
69	45
68	45
67	45
66	45
65	45
64	45
63	45
62	45
61	45
60	45
59	45
58	45
57	45
56	45
55	45
99	50
98	50
97	50
96	50
95	50
94	50
93	50
92	50
90	50
89	50
88	50
87	50
86	50
85	50
84	50
83	50
82	50
81	50
80	50
79	50
78	50
77	50
76	50
75	50
74	50
73	50
72	50
71	50
70	50
69	50
68	50
67	50
66	50
65	50
64	50
63	50
62	50
61	50
60	50
59	50
58	50
57	50
56	50
55	50
99	55
98	55
97	55
96	55
95	55
94	55
93	55
92	55
90	55
89	55
88	55
87	55
86	55
85	55
84	55
83	55
82	55
81	55
80	55
79	55
78	55
77	55
76	55
75	55
74	55
73	55
72	55
71	55
70	55
69	55
68	55
67	55
66	55
65	55
64	55
63	55
62	55
61	55
60	55
59	55
58	55
57	55
56	55
55	55
99	62
98	62
97	62
96	62
95	62
94	62
93	62
92	62
90	62
89	62
88	62
87	62
86	62
85	62
84	62
83	62
82	62
81	62
80	62
79	62
78	62
77	62
76	62
75	62
74	62
73	62
72	62
71	62
70	62
69	62
68	62
67	62
66	62
65	62
64	62
63	62
62	62
61	62
60	62
59	62
58	62
57	62
56	62
55	62
99	68
98	68
97	68
96	68
95	68
94	68
93	68
92	68
90	68
89	68
88	68
87	68
86	68
85	68
84	68
83	68
82	68
81	68
80	68
79	68
78	68
77	68
76	68
75	68
74	68
73	68
72	68
71	68
70	68
69	68
68	68
67	68
66	68
65	68
64	68
63	68
62	68
61	68
60	68
59	68
58	68
57	68
56	68
55	68
